,timestamp,value,type,winery_id,sensor_id
99,2022-01-12 22:15:34.647493,21.0,T,1,1
100,2022-01-12 22:15:43.429732,21.0,T,1,1
101,2022-01-12 22:15:50.744640,21.0,T,1,1
102,2022-01-12 22:15:58.921450,21.0,T,1,1
103,2022-01-12 22:16:07.100937,21.0,T,1,1
104,2022-01-12 22:16:23.427424,21.0,T,1,1
105,2022-01-12 22:16:32.925939,21.0,T,1,1
106,2022-01-12 22:16:42.374840,21.0,T,1,1
107,2022-01-12 22:16:47.861922,21.0,T,1,1
108,2022-01-12 22:16:56.002177,21.0,T,1,1
109,2022-01-12 22:17:04.150151,21.0,T,1,1
110,2022-01-12 22:17:12.293980,21.0,T,1,1
111,2022-01-12 22:17:20.694364,21.0,T,1,1
112,2022-01-12 22:17:29.871313,21.0,T,1,1
113,2022-01-12 22:17:36.734444,21.0,T,1,1
114,2022-01-12 22:17:44.882174,21.0,T,1,1
115,2022-01-12 22:17:53.027069,21.0,T,1,1
116,2022-01-12 22:18:01.174398,21.0,T,1,1
117,2022-01-12 22:18:10.181819,21.0,T,1,1
118,2022-01-12 22:18:17.468965,21.0,T,1,1
119,2022-01-12 22:18:25.616707,21.0,T,1,1
120,2022-01-12 22:18:33.764384,21.0,T,1,1
121,2022-01-12 22:18:41.915462,21.0,T,1,1
122,2022-01-12 22:18:58.512566,21.0,T,1,1
123,2022-01-12 22:19:06.447472,21.0,T,1,1
124,2022-01-12 22:19:14.622481,21.0,T,1,1
125,2022-01-12 22:19:22.803281,21.0,T,1,1
126,2022-01-12 22:19:30.980069,21.0,T,1,1
127,2022-01-12 22:19:39.391290,21.0,T,1,1
128,2022-01-12 22:19:48.738082,21.0,T,1,1
129,2022-01-12 22:19:56.892086,21.0,T,1,1
130,2022-01-12 22:20:11.833924,21.0,T,1,1
131,2022-01-12 22:20:19.982371,21.0,T,1,1
132,2022-01-12 22:20:28.117193,21.0,T,1,1
133,2022-01-12 22:20:36.972731,21.0,T,1,1
134,2022-01-12 22:20:46.622842,21.0,T,1,1
135,2022-01-12 22:20:52.556785,21.0,T,1,1
136,2022-01-12 22:21:00.706673,21.0,T,1,1
137,2022-01-12 22:21:08.853819,21.0,T,1,1
138,2022-01-12 22:21:16.999763,21.0,T,1,1
139,2022-01-12 22:21:25.426983,21.0,T,1,1
140,2022-01-12 22:21:35.374877,21.0,T,1,1
141,2022-01-12 22:21:41.439586,21.0,T,1,1
142,2022-01-12 22:22:23.476270,21.0,T,1,1
143,2022-01-12 22:22:31.633959,21.0,T,1,1
144,2022-01-12 22:22:39.810520,21.0,T,1,1
145,2022-01-12 22:22:47.989288,21.0,T,1,1
146,2022-01-12 22:22:56.165516,21.0,T,1,1
147,2022-01-12 22:23:05.015568,21.0,T,1,1
148,2022-01-12 22:23:14.598355,21.0,T,1,1
149,2022-01-12 22:23:20.694053,21.0,T,1,1
150,2022-01-12 22:24:21.607929,21.0,T,1,1
151,2022-01-12 22:24:29.787216,21.0,T,1,1
152,2022-01-12 22:24:37.961702,21.0,T,1,1
153,2022-01-12 22:24:46.136976,21.0,T,1,1
154,2022-01-12 22:24:54.590924,21.0,T,1,1
155,2022-01-12 22:25:03.676507,21.0,T,1,1
156,2022-01-12 22:25:10.672221,21.0,T,1,1
157,2022-01-12 22:25:18.846905,21.0,T,1,1
158,2022-01-12 22:25:27.023266,21.0,T,1,1
159,2022-01-12 22:25:35.163876,21.0,T,1,1
160,2022-01-12 22:25:45.820324,21.0,T,1,1
161,2022-01-12 22:25:55.769762,21.0,T,1,1
162,2022-01-12 22:25:59.604145,21.0,T,1,1
163,2022-01-12 22:26:07.770869,21.0,T,1,1
164,2022-01-12 22:26:15.889559,21.0,T,1,1
165,2022-01-12 22:26:24.034825,21.0,T,1,1
166,2022-01-12 22:26:32.181396,21.0,T,1,1
167,2022-01-12 22:26:40.329378,21.0,T,1,1
168,2022-01-12 22:26:54.932208,21.0,T,1,1
169,2022-01-12 22:26:56.739070,21.0,T,1,1
170,2022-01-12 22:27:04.765091,21.0,T,1,1
171,2022-01-12 22:27:12.915747,21.0,T,1,1
172,2022-01-12 22:27:21.062003,21.0,T,1,1
173,2022-01-12 22:27:29.207913,21.0,T,1,1
174,2022-01-12 22:27:43.290142,21.0,T,1,1
175,2022-01-12 22:27:45.502113,21.0,T,1,1
176,2022-01-12 22:27:53.648446,21.0,T,1,1
177,2022-01-12 22:28:01.793398,21.0,T,1,1
178,2022-01-12 22:28:09.940965,21.0,T,1,1
179,2022-01-12 22:28:18.088844,21.0,T,1,1
180,2022-01-12 22:28:26.465586,21.0,T,1,1
181,2022-01-12 22:28:37.421003,21.0,T,1,1
182,2022-01-12 22:28:42.529178,21.0,T,1,1
183,2022-01-12 22:28:50.675489,21.0,T,1,1
184,2022-01-12 22:28:58.821612,21.0,T,1,1
185,2022-01-12 22:29:06.969325,21.0,T,1,1
186,2022-01-12 22:29:15.644722,21.0,T,1,1
187,2022-01-12 22:29:25.019817,21.0,T,1,1
188,2022-01-12 22:29:31.408027,21.0,T,1,1
189,2022-01-12 22:29:39.556614,21.0,T,1,1
190,2022-01-12 22:29:47.703985,21.0,T,1,1
191,2022-01-12 22:29:55.852175,21.0,T,1,1
192,2022-01-12 22:30:03.992488,21.0,T,1,1
193,2022-01-12 22:30:16.285659,21.0,T,1,1
194,2022-01-12 22:30:20.285881,21.0,T,1,1
195,2022-01-12 22:30:28.433891,21.0,T,1,1
196,2022-01-12 22:30:36.600643,21.0,T,1,1
197,2022-01-12 22:30:44.771582,21.0,T,1,1
198,2022-01-12 22:30:52.947549,21.0,T,1,1
199,2022-01-12 22:31:05.122757,21.0,T,1,1
200,2022-01-12 22:31:10.743420,21.0,T,1,1
201,2022-01-12 22:31:17.481624,21.0,T,1,1
202,2022-01-12 22:31:25.657824,21.0,T,1,1
203,2022-01-12 22:31:33.832706,21.0,T,1,1
204,2022-01-12 22:31:58.102064,21.0,T,1,1
205,2022-01-12 22:32:03.635930,21.0,T,1,1
206,2022-01-12 22:32:06.448834,21.0,T,1,1
207,2022-01-12 22:32:15.251181,21.0,T,1,1
208,2022-01-12 22:32:22.738408,21.0,T,1,1
209,2022-01-12 22:32:30.884707,21.0,T,1,1
210,2022-01-12 22:32:39.031351,21.0,T,1,1
211,2022-01-12 22:33:57.718008,21.0,T,1,1
212,2022-01-12 22:34:05.886729,21.0,T,1,1
213,2022-01-12 22:34:22.236422,21.0,T,1,1
214,2022-01-12 22:34:30.413330,21.0,T,1,1
215,2022-01-12 22:34:39.356936,21.0,T,1,1
216,2022-01-12 22:34:46.766242,21.0,T,1,1
217,2022-01-12 22:34:54.945692,21.0,T,1,1
218,2022-01-12 22:35:03.125287,21.0,T,1,1
